Old County and GOR etc,Species,Mean,Rank,% gardens,
Aberdeen City,House_sparrow,5.40,1,69.8,
Aberdeen City,Blackbird,3.02,2,91.8,
Aberdeen City,Starling,2.42,3,34.4,
Aberdeen City,Chaffinch,2.04,4,47.4,
Aberdeen City,Blue_tit,2.00,5,73.2,
Aberdeen City,Woodpigeon,1.64,6,67.2,
Aberdeen City,Feral_pigeon,1.54,7,36.5,
Aberdeen City,Robin,1.41,8,88.8,
Aberdeen City,Great_tit,1.18,9,49.3,
Aberdeen City,Goldfinch,1.08,10,24.4,
Aberdeen City,Magpie,0.99,11,49.5,
Aberdeen City,Dunnock,0.86,12,44.7,
Aberdeen City,Coal_tit,0.82,13,39.9,
Aberdeen City,Carrion_crow,0.64,14,30.0,
Aberdeen City,Greenfinch,0.61,15,19.8,
Aberdeen City,Common_gull,0.56,16,15.7,
Aberdeen City,Jackdaw,0.45,17,17.6,
Aberdeen City,Long_tailed_tit,0.29,18,8.1,
Aberdeen City,Collared_dove,0.26,19,13.0,
Aberdeen City,Rook,0.21,20,6.5,
Aberdeen City,Wren,0.19,21,16.9,
Aberdeen City,Bullfinch,0.13,22,6.1,
Aberdeen City,Herring_gull,0.12,23,6.1,
Aberdeen City,Great_spotted_woodpecker,0.11,24,9.2,
Aberdeen City,Siskin,0.08,25,3.4,
Aberdeen City,Tree_sparrow,0.07,26,2.2,
Aberdeen City,Blackcap,0.05,27,3.6,
Aberdeen City,Jay,0.04,28,2.4,
Aberdeen City,Song_thrush,0.02,29,2.2,
Aberdeen City,Redwing,0.02,30,0.7,
Aberdeen City,Fieldfare,0.02,31,1.2,
Aberdeen City,Sparrowhawk,0.01,32,1.4,
Aberdeen City,Pheasant,0.01,33,1.2,
Aberdeen City,Buzzard,0.01,34,0.7,
Aberdeen City,Black_headed_gull ,0.01,35,0.5,
Aberdeen City,Hooded_crow,0.01,36,0.7,
Aberdeen City,Yellowhammer,0.01,37,0.5,
Aberdeen City,Brambling,0.00,38,0.5,
Aberdeen City,Mistle_thrush,0.00,39,0.2,
Aberdeen City,Stock_dove,0.00,40,0.2,
Aberdeen City,Treecreeper,0.00,41,0.5,
Aberdeen City,Raven,0.00,42,0.2,
Aberdeen City,Goldcrest,0.00,43,0.2,
Aberdeen City,Kestrel,0.00,44,0.2,
Aberdeen City,Lesser_spotted_woodpecker,0.00,45,0.2,
Aberdeen City,Barn_owl,0.00,46,0.0,
Aberdeen City,Black_redstart,0.00,47,0.0,
Aberdeen City,Chiffchaff,0.00,48,0.0,
Aberdeen City,Corn_bunting,0.00,49,0.0,
Aberdeen City,Gadwall,0.00,50,0.0,
Aberdeen City,Great_black_backed_gull,0.00,51,0.0,
Aberdeen City,Great_crested_grebe,0.00,52,0.0,
Aberdeen City,Green_woodpecker,0.00,53,0.0,
Aberdeen City,Grey_heron,0.00,54,0.0,
Aberdeen City,Grey_partridge,0.00,55,0.0,
Aberdeen City,Grey_wagtail,0.00,56,0.0,
Aberdeen City,Lapwing,0.00,57,0.0,
Aberdeen City,Lesser_black_backed_gull,0.00,58,0.0,
Aberdeen City,Linnet,0.00,59,0.0,
Aberdeen City,Little_owl,0.00,60,0.0,
Aberdeen City,Mallard,0.00,61,0.0,
Aberdeen City,Marsh_tit,0.00,62,0.0,
Aberdeen City,Meadow_pipit,0.00,63,0.0,
Aberdeen City,Moorhen,0.00,64,0.0,
Aberdeen City,Mute_swan,0.00,65,0.0,
Aberdeen City,Nuthatch,0.00,66,0.0,
Aberdeen City,Pied_wagtail,0.00,67,0.0,
Aberdeen City,Red_kite,0.00,68,0.0,
Aberdeen City,Red_legged_partridge,0.00,69,0.0,
Aberdeen City,Redpoll,0.00,70,0.0,
Aberdeen City,Reed_bunting,0.00,71,0.0,
Aberdeen City,Ring_necked_parakeet,0.00,72,0.0,
Aberdeen City,Skylark,0.00,73,0.0,
Aberdeen City,Tawny_owl,0.00,74,0.0,
Aberdeen City,Teal,0.00,75,0.0,
Aberdeen City,Tufted_duck,0.00,76,0.0,
Aberdeen City,Waxwing,0.00,77,0.0,
Aberdeen City,Wigeon,0.00,78,0.0,
Aberdeen City,Willow_tit,0.00,79,0.0,
Aberdeenshire,House_sparrow,7.37,1,77.7,
Aberdeenshire,Chaffinch,5.28,2,72.6,
Aberdeenshire,Starling,5.09,3,51.5,
Aberdeenshire,Blackbird,3.27,4,93.3,
Aberdeenshire,Blue_tit,2.79,5,80.4,
Aberdeenshire,Great_tit,1.84,6,64.4,
Aberdeenshire,Robin,1.72,7,94.3,
Aberdeenshire,Goldfinch,1.57,8,28.9,
Aberdeenshire,Woodpigeon,1.47,9,52.8,
Aberdeenshire,Coal_tit,1.45,10,52.8,
Aberdeenshire,Greenfinch,1.03,11,32.7,
Aberdeenshire,Carrion_crow,0.99,12,35.8,
Aberdeenshire,Dunnock,0.98,13,50.4,
Aberdeenshire,Collared_dove,0.87,14,35.5,
Aberdeenshire,Jackdaw,0.70,15,18.7,
Aberdeenshire,Tree_sparrow,0.55,16,11.2,
Aberdeenshire,Pheasant,0.47,17,21.7,
Aberdeenshire,Magpie,0.46,18,24.4,
Aberdeenshire,Long_tailed_tit,0.44,19,8.4,
Aberdeenshire,Rook,0.41,20,11.0,
Aberdeenshire,Great_spotted_woodpecker,0.38,21,29.6,
Aberdeenshire,Common_gull,0.38,22,9.9,
Aberdeenshire,Feral_pigeon,0.33,23,7.8,
Aberdeenshire,Wren,0.29,24,22.2,
Aberdeenshire,Siskin,0.12,25,4.5,
Aberdeenshire,Bullfinch,0.12,26,6.0,
Aberdeenshire,Herring_gull,0.05,27,2.7,
Aberdeenshire,Jay,0.05,28,2.8,
Aberdeenshire,Buzzard,0.04,29,2.9,
Aberdeenshire,Yellowhammer,0.03,30,2.1,
Aberdeenshire,Brambling,0.03,31,1.9,
Aberdeenshire,Fieldfare,0.03,32,0.8,
Aberdeenshire,Sparrowhawk,0.02,33,2.3,
Aberdeenshire,Treecreeper,0.02,34,2.0,
Aberdeenshire,Song_thrush,0.02,35,1.6,
Aberdeenshire,Redwing,0.02,36,0.6,
Aberdeenshire,Blackcap,0.01,37,1.0,
Aberdeenshire,Goldcrest,0.01,38,0.8,
Aberdeenshire,Pied_wagtail,0.01,39,0.8,
Aberdeenshire,Redpoll,0.01,40,0.6,
Aberdeenshire,Grey_heron,0.01,41,0.6,
Aberdeenshire,Kestrel,0.00,42,0.5,
Aberdeenshire,Lesser_spotted_woodpecker,0.00,43,0.3,
Aberdeenshire,Mistle_thrush,0.00,44,0.2,
Aberdeenshire,Moorhen,0.00,45,0.2,
Aberdeenshire,Great_black_backed_gull,0.00,46,0.2,
Aberdeenshire,Black_headed_gull ,0.00,47,0.1,
Aberdeenshire,Mallard,0.00,48,0.1,
Aberdeenshire,Red_kite,0.00,49,0.2,
Aberdeenshire,Reed_bunting,0.00,50,0.2,
Aberdeenshire,Barn_owl,0.00,51,0.1,
Aberdeenshire,Grey_partridge,0.00,52,0.1,
Aberdeenshire,Nuthatch,0.00,53,0.1,
Aberdeenshire,Willow_tit,0.00,54,0.1,
Aberdeenshire,Black_redstart,0.00,55,0.0,
Aberdeenshire,Chiffchaff,0.00,56,0.0,
Aberdeenshire,Corn_bunting,0.00,57,0.0,
Aberdeenshire,Gadwall,0.00,58,0.0,
Aberdeenshire,Great_crested_grebe,0.00,59,0.0,
Aberdeenshire,Green_woodpecker,0.00,60,0.0,
Aberdeenshire,Grey_wagtail,0.00,61,0.0,
Aberdeenshire,Hooded_crow,0.00,62,0.0,
Aberdeenshire,Lapwing,0.00,63,0.0,
Aberdeenshire,Lesser_black_backed_gull,0.00,64,0.0,
Aberdeenshire,Linnet,0.00,65,0.0,
Aberdeenshire,Little_owl,0.00,66,0.0,
Aberdeenshire,Marsh_tit,0.00,67,0.0,
Aberdeenshire,Meadow_pipit,0.00,68,0.0,
Aberdeenshire,Mute_swan,0.00,69,0.0,
Aberdeenshire,Raven,0.00,70,0.0,
Aberdeenshire,Red_legged_partridge,0.00,71,0.0,
Aberdeenshire,Ring_necked_parakeet,0.00,72,0.0,
Aberdeenshire,Skylark,0.00,73,0.0,
Aberdeenshire,Stock_dove,0.00,74,0.0,
Aberdeenshire,Tawny_owl,0.00,75,0.0,
Aberdeenshire,Teal,0.00,76,0.0,
Aberdeenshire,Tufted_duck,0.00,77,0.0,
Aberdeenshire,Waxwing,0.00,78,0.0,
Aberdeenshire,Wigeon,0.00,79,0.0,
Angus,House_sparrow,8.11,1,79.2,
Angus,Starling,3.92,2,42.9,
Angus,Blue_tit,3.54,3,80.5,
Angus,Blackbird,3.48,4,93.9,
Angus,Chaffinch,3.47,5,57.8,
Angus,Woodpigeon,1.96,6,69.9,
Angus,Great_tit,1.80,7,57.0,
Angus,Goldfinch,1.79,8,29.8,
Angus,Robin,1.67,9,92.3,
Angus,Coal_tit,1.36,10,49.9,
Angus,Dunnock,1.12,11,47.2,
Angus,Collared_dove,0.98,12,35.1,
Angus,Greenfinch,0.75,13,25.0,
Angus,Hooded_crow,0.69,14,26.0,
Angus,Long_tailed_tit,0.63,15,11.1,
Angus,Feral_pigeon,0.61,16,16.2,
Angus,Jackdaw,0.46,17,14.5,
Angus,Pheasant,0.40,18,19.4,
Angus,Great_spotted_woodpecker,0.39,19,29.3,
Angus,Common_gull,0.39,20,10.7,
Angus,Tree_sparrow,0.36,21,6.3,
Angus,Wren,0.28,22,23.4,
Angus,Rook,0.12,23,4.5,
Angus,Bullfinch,0.11,24,4.5,
Angus,Magpie,0.09,25,6.1,
Angus,Jay,0.09,26,6.6,
Angus,Herring_gull,0.08,27,2.8,
Angus,Siskin,0.06,28,2.1,
Angus,Yellowhammer,0.03,29,1.7,
Angus,Sparrowhawk,0.03,30,3.1,
Angus,Song_thrush,0.02,31,2.1,
Angus,Treecreeper,0.02,32,2.4,
Angus,Brambling,0.02,33,1.0,
Angus,Buzzard,0.01,34,1.0,
Angus,Mistle_thrush,0.01,35,0.7,
Angus,Blackcap,0.00,36,0.3,
Angus,Goldcrest,0.00,37,0.3,
Angus,Grey_heron,0.00,38,0.3,
Angus,Kestrel,0.00,39,0.3,
Angus,Linnet,0.00,40,0.3,
Angus,Nuthatch,0.00,41,0.3,
Angus,Red_kite,0.00,42,0.3,
Angus,Ring_necked_parakeet,0.00,43,0.3,
Angus,Barn_owl,0.00,44,0.0,
Angus,Black_headed_gull ,0.00,45,0.0,
Angus,Black_redstart,0.00,46,0.0,
Angus,Chiffchaff,0.00,47,0.0,
Angus,Corn_bunting,0.00,48,0.0,
Angus,Fieldfare,0.00,49,0.0,
Angus,Gadwall,0.00,50,0.0,
Angus,Great_black_backed_gull,0.00,51,0.0,
Angus,Great_crested_grebe,0.00,52,0.0,
Angus,Green_woodpecker,0.00,53,0.0,
Angus,Grey_partridge,0.00,54,0.0,
Angus,Grey_wagtail,0.00,55,0.0,
Angus,Carrion_crow,0.00,56,0.0,
Angus,Lapwing,0.00,57,0.0,
Angus,Lesser_black_backed_gull,0.00,58,0.0,
Angus,Lesser_spotted_woodpecker,0.00,59,0.0,
Angus,Little_owl,0.00,60,0.0,
Angus,Mallard,0.00,61,0.0,
Angus,Marsh_tit,0.00,62,0.0,
Angus,Meadow_pipit,0.00,63,0.0,
Angus,Moorhen,0.00,64,0.0,
Angus,Mute_swan,0.00,65,0.0,
Angus,Pied_wagtail,0.00,66,0.0,
Angus,Raven,0.00,67,0.0,
Angus,Red_legged_partridge,0.00,68,0.0,
Angus,Redpoll,0.00,69,0.0,
Angus,Redwing,0.00,70,0.0,
Angus,Reed_bunting,0.00,71,0.0,
Angus,Skylark,0.00,72,0.0,
Angus,Stock_dove,0.00,73,0.0,
Angus,Tawny_owl,0.00,74,0.0,
Angus,Teal,0.00,75,0.0,
Angus,Tufted_duck,0.00,76,0.0,
Angus,Waxwing,0.00,77,0.0,
Angus,Wigeon,0.00,78,0.0,
Angus,Willow_tit,0.00,79,0.0,
Antrim,Starling,5.44,1,64.2,
Antrim,House_sparrow,4.99,2,68.2,
Antrim,Chaffinch,3.63,3,65.2,
Antrim,Blackbird,2.49,4,89.8,
Antrim,Blue_tit,2.41,5,75.6,
Antrim,Great_tit,2.06,6,63.6,
Antrim,Goldfinch,1.84,7,31.3,
Antrim,Robin,1.61,8,90.1,
Antrim,Magpie,1.51,9,67.1,
Antrim,Coal_tit,1.47,10,53.9,
Antrim,Collared_dove,1.36,11,48.4,
Antrim,Woodpigeon,1.27,12,48.1,
Antrim,Jackdaw,1.08,13,28.1,
Antrim,Feral_pigeon,1.06,14,24.8,
Antrim,Hooded_crow,0.85,15,23.1,
Antrim,Rook,0.75,16,17.7,
Antrim,Dunnock,0.61,17,34.8,
Antrim,Long_tailed_tit,0.60,18,15.5,
Antrim,Greenfinch,0.52,19,18.8,
Antrim,Common_gull,0.39,20,8.2,
Antrim,Wren,0.28,21,23.1,
Antrim,Bullfinch,0.14,22,7.0,
Antrim,Siskin,0.13,23,4.8,
Antrim,Jay,0.13,24,8.1,
Antrim,Pheasant,0.10,25,4.4,
Antrim,Blackcap,0.06,26,4.8,
Antrim,Pied_wagtail,0.05,27,3.5,
Antrim,Song_thrush,0.04,28,4.1,
Antrim,Tree_sparrow,0.04,29,1.3,
Antrim,Redpoll,0.04,30,1.4,
Antrim,Black_headed_gull ,0.02,31,0.6,
Antrim,Mistle_thrush,0.02,32,1.5,
Antrim,Carrion_crow,0.01,33,1.3,
Antrim,Herring_gull,0.01,34,0.6,
Antrim,Buzzard,0.01,35,0.7,
Antrim,Goldcrest,0.01,36,0.7,
Antrim,Sparrowhawk,0.01,37,0.8,
Antrim,Fieldfare,0.01,38,0.2,
Antrim,Treecreeper,0.01,39,0.6,
Antrim,Brambling,0.00,40,0.2,
Antrim,Great_spotted_woodpecker,0.00,41,0.2,
Antrim,Grey_wagtail,0.00,42,0.1,
Antrim,Grey_heron,0.00,43,0.1,
Antrim,Lesser_black_backed_gull,0.00,44,0.1,
Antrim,Barn_owl,0.00,45,0.0,
Antrim,Black_redstart,0.00,46,0.0,
Antrim,Chiffchaff,0.00,47,0.0,
Antrim,Corn_bunting,0.00,48,0.0,
Antrim,Gadwall,0.00,49,0.0,
Antrim,Great_black_backed_gull,0.00,50,0.0,
Antrim,Great_crested_grebe,0.00,51,0.0,
Antrim,Green_woodpecker,0.00,52,0.0,
Antrim,Grey_partridge,0.00,53,0.0,
Antrim,Kestrel,0.00,54,0.0,
Antrim,Lapwing,0.00,55,0.0,
Antrim,Lesser_spotted_woodpecker,0.00,56,0.0,
Antrim,Linnet,0.00,57,0.0,
Antrim,Little_owl,0.00,58,0.0,
Antrim,Mallard,0.00,59,0.0,
Antrim,Marsh_tit,0.00,60,0.0,
Antrim,Meadow_pipit,0.00,61,0.0,
Antrim,Moorhen,0.00,62,0.0,
Antrim,Mute_swan,0.00,63,0.0,
Antrim,Nuthatch,0.00,64,0.0,
Antrim,Raven,0.00,65,0.0,
Antrim,Red_kite,0.00,66,0.0,
Antrim,Red_legged_partridge,0.00,67,0.0,
Antrim,Redwing,0.00,68,0.0,
Antrim,Reed_bunting,0.00,69,0.0,
Antrim,Ring_necked_parakeet,0.00,70,0.0,
Antrim,Skylark,0.00,71,0.0,
Antrim,Stock_dove,0.00,72,0.0,
Antrim,Tawny_owl,0.00,73,0.0,
Antrim,Teal,0.00,74,0.0,
Antrim,Tufted_duck,0.00,75,0.0,
Antrim,Waxwing,0.00,76,0.0,
Antrim,Wigeon,0.00,77,0.0,
Antrim,Willow_tit,0.00,78,0.0,
Antrim,Yellowhammer,0.00,79,0.0,
Argyll and Bute,Chaffinch,9.27,1,86.8,
Argyll and Bute,House_sparrow,4.48,2,64.6,
Argyll and Bute,Blue_tit,3.98,3,83.5,
Argyll and Bute,Great_tit,2.81,4,74.1,
Argyll and Bute,Blackbird,2.78,5,90.1,
Argyll and Bute,Starling,2.44,6,31.8,
Argyll and Bute,Robin,1.81,7,92.8,
Argyll and Bute,Coal_tit,1.74,8,57.5,
Argyll and Bute,Goldfinch,1.55,9,34.9,
Argyll and Bute,Dunnock,1.32,10,59.3,
Argyll and Bute,Collared_dove,1.12,11,34.6,
Argyll and Bute,Woodpigeon,1.03,12,34.0,
Argyll and Bute,Feral_pigeon,0.93,13,17.1,
Argyll and Bute,Greenfinch,0.86,14,27.9,
Argyll and Bute,Jackdaw,0.71,15,17.1,
Argyll and Bute,Carrion_crow,0.70,16,26.0,
Argyll and Bute,Long_tailed_tit,0.59,17,9.5,
Argyll and Bute,Common_gull,0.41,18,10.2,
Argyll and Bute,Jay,0.35,19,18.8,
Argyll and Bute,Rook,0.34,20,7.4,
Argyll and Bute,Magpie,0.32,21,15.6,
Argyll and Bute,Pheasant,0.28,22,10.2,
Argyll and Bute,Great_spotted_woodpecker,0.22,23,18.1,
Argyll and Bute,Siskin,0.21,24,7.7,
Argyll and Bute,Wren,0.20,25,16.1,
Argyll and Bute,Bullfinch,0.08,26,4.1,
Argyll and Bute,Song_thrush,0.08,27,7.7,
Argyll and Bute,Herring_gull,0.07,28,3.3,
Argyll and Bute,Treecreeper,0.03,29,2.8,
Argyll and Bute,Nuthatch,0.03,30,2.0,
Argyll and Bute,Redwing,0.03,31,0.8,
Argyll and Bute,Sparrowhawk,0.02,32,2.3,
Argyll and Bute,Buzzard,0.02,33,1.8,
Argyll and Bute,Hooded_crow,0.02,34,1.9,
Argyll and Bute,Yellowhammer,0.01,35,0.5,
Argyll and Bute,Brambling,0.01,36,0.8,
Argyll and Bute,Pied_wagtail,0.01,37,1.0,
Argyll and Bute,Mallard,0.01,38,0.3,
Argyll and Bute,Grey_heron,0.01,39,0.5,
Argyll and Bute,Kestrel,0.01,40,0.5,
Argyll and Bute,Mistle_thrush,0.01,41,0.3,
Argyll and Bute,Reed_bunting,0.00,42,0.3,
Argyll and Bute,Blackcap,0.00,43,0.3,
Argyll and Bute,Black_headed_gull ,0.00,44,0.3,
Argyll and Bute,Goldcrest,0.00,45,0.3,
Argyll and Bute,Raven,0.00,46,0.3,
Argyll and Bute,Tree_sparrow,0.00,47,0.3,
Argyll and Bute,Barn_owl,0.00,48,0.0,
Argyll and Bute,Black_redstart,0.00,49,0.0,
Argyll and Bute,Chiffchaff,0.00,50,0.0,
Argyll and Bute,Corn_bunting,0.00,51,0.0,
Argyll and Bute,Fieldfare,0.00,52,0.0,
Argyll and Bute,Gadwall,0.00,53,0.0,
Argyll and Bute,Great_black_backed_gull,0.00,54,0.0,
Argyll and Bute,Great_crested_grebe,0.00,55,0.0,
Argyll and Bute,Green_woodpecker,0.00,56,0.0,
Argyll and Bute,Grey_partridge,0.00,57,0.0,
Argyll and Bute,Grey_wagtail,0.00,58,0.0,
Argyll and Bute,Lapwing,0.00,59,0.0,
Argyll and Bute,Lesser_black_backed_gull,0.00,60,0.0,
Argyll and Bute,Lesser_spotted_woodpecker,0.00,61,0.0,
Argyll and Bute,Linnet,0.00,62,0.0,
Argyll and Bute,Little_owl,0.00,63,0.0,
Argyll and Bute,Marsh_tit,0.00,64,0.0,
Argyll and Bute,Meadow_pipit,0.00,65,0.0,
Argyll and Bute,Moorhen,0.00,66,0.0,
Argyll and Bute,Mute_swan,0.00,67,0.0,
Argyll and Bute,Red_kite,0.00,68,0.0,
Argyll and Bute,Red_legged_partridge,0.00,69,0.0,
Argyll and Bute,Redpoll,0.00,70,0.0,
Argyll and Bute,Ring_necked_parakeet,0.00,71,0.0,
Argyll and Bute,Skylark,0.00,72,0.0,
Argyll and Bute,Stock_dove,0.00,73,0.0,
Argyll and Bute,Tawny_owl,0.00,74,0.0,
Argyll and Bute,Teal,0.00,75,0.0,
Argyll and Bute,Tufted_duck,0.00,76,0.0,
Argyll and Bute,Waxwing,0.00,77,0.0,
Argyll and Bute,Wigeon,0.00,78,0.0,
Argyll and Bute,Willow_tit,0.00,79,0.0,
Armagh,Starling,6.19,1,65.4,
Armagh,House_sparrow,5.91,2,77.6,
Armagh,Chaffinch,3.85,3,73.7,
Armagh,Blue_tit,2.55,4,78.1,
Armagh,Great_tit,2.24,5,66.2,
Armagh,Blackbird,2.23,6,89.0,
Armagh,Goldfinch,2.16,7,33.8,
Armagh,Robin,1.76,8,89.5,
Armagh,Hooded_crow,1.67,9,36.0,
Armagh,Jackdaw,1.53,10,32.4,
Armagh,Coal_tit,1.51,11,54.6,
Armagh,Collared_dove,1.41,12,53.1,
Armagh,Magpie,1.32,13,61.4,
Armagh,Rook,1.26,14,19.9,
Armagh,Woodpigeon,1.23,15,46.9,
Armagh,Greenfinch,0.59,16,19.3,
Armagh,Dunnock,0.52,17,30.7,
Armagh,Feral_pigeon,0.51,18,16.9,
Armagh,Long_tailed_tit,0.46,19,14.0,
Armagh,Wren,0.34,20,21.5,
Armagh,Common_gull,0.33,21,4.4,
Armagh,Jay,0.20,22,10.3,
Armagh,Bullfinch,0.16,23,8.1,
Armagh,Pied_wagtail,0.10,24,5.9,
Armagh,Pheasant,0.07,25,5.1,
Armagh,Redpoll,0.07,26,2.2,
Armagh,Song_thrush,0.05,27,5.1,
Armagh,Siskin,0.04,28,1.5,
Armagh,Fieldfare,0.02,29,0.7,
Armagh,Mistle_thrush,0.02,30,1.5,
Armagh,Tree_sparrow,0.01,31,0.7,
Armagh,Buzzard,0.01,32,0.7,
Armagh,Blackcap,0.01,33,0.7,
Armagh,Grey_heron,0.01,34,0.7,
Armagh,Reed_bunting,0.01,35,0.7,
Armagh,Sparrowhawk,0.01,36,0.7,
Armagh,Yellowhammer,0.01,37,0.7,
Armagh,Barn_owl,0.00,38,0.0,
Armagh,Black_headed_gull ,0.00,39,0.0,
Armagh,Black_redstart,0.00,40,0.0,
Armagh,Brambling,0.00,41,0.0,
Armagh,Chiffchaff,0.00,42,0.0,
Armagh,Corn_bunting,0.00,43,0.0,
Armagh,Gadwall,0.00,44,0.0,
Armagh,Goldcrest,0.00,45,0.0,
Armagh,Great_black_backed_gull,0.00,46,0.0,
Armagh,Great_crested_grebe,0.00,47,0.0,
Armagh,Great_spotted_woodpecker,0.00,48,0.0,
Armagh,Green_woodpecker,0.00,49,0.0,
Armagh,Grey_partridge,0.00,50,0.0,
Armagh,Grey_wagtail,0.00,51,0.0,
Armagh,Herring_gull,0.00,52,0.0,
Armagh,Carrion_crow,0.00,53,0.0,
Armagh,Kestrel,0.00,54,0.0,
Armagh,Lapwing,0.00,55,0.0,
Armagh,Lesser_black_backed_gull,0.00,56,0.0,
Armagh,Lesser_spotted_woodpecker,0.00,57,0.0,
Armagh,Linnet,0.00,58,0.0,
Armagh,Little_owl,0.00,59,0.0,
Armagh,Mallard,0.00,60,0.0,
Armagh,Marsh_tit,0.00,61,0.0,
Armagh,Meadow_pipit,0.00,62,0.0,
Armagh,Moorhen,0.00,63,0.0,
Armagh,Mute_swan,0.00,64,0.0,
Armagh,Nuthatch,0.00,65,0.0,
Armagh,Raven,0.00,66,0.0,
Armagh,Red_kite,0.00,67,0.0,
Armagh,Red_legged_partridge,0.00,68,0.0,
Armagh,Redwing,0.00,69,0.0,
Armagh,Ring_necked_parakeet,0.00,70,0.0,
Armagh,Skylark,0.00,71,0.0,
Armagh,Stock_dove,0.00,72,0.0,
Armagh,Tawny_owl,0.00,73,0.0,
Armagh,Teal,0.00,74,0.0,
Armagh,Treecreeper,0.00,75,0.0,
Armagh,Tufted_duck,0.00,76,0.0,
Armagh,Waxwing,0.00,77,0.0,
Armagh,Wigeon,0.00,78,0.0,
Armagh,Willow_tit,0.00,79,0.0,
Barking and Dagenham,House_sparrow,7.81,1,75.5,
Barking and Dagenham,Starling,7.21,2,73.4,
Barking and Dagenham,Woodpigeon,3.64,3,85.9,
Barking and Dagenham,Feral_pigeon,2.56,4,49.5,
Barking and Dagenham,Blue_tit,2.21,5,63.0,
Barking and Dagenham,Collared_dove,1.73,6,58.2,
Barking and Dagenham,Magpie,1.64,7,68.9,
Barking and Dagenham,Blackbird,1.59,8,66.3,
Barking and Dagenham,Robin,1.25,9,77.6,
Barking and Dagenham,Great_tit,1.21,10,44.0,
Barking and Dagenham,Carrion_crow,0.81,11,27.6,
Barking and Dagenham,Common_gull,0.60,12,14.3,
Barking and Dagenham,Goldfinch,0.53,13,13.6,
Barking and Dagenham,Long_tailed_tit,0.45,14,11.4,
Barking and Dagenham,Chaffinch,0.36,15,15.8,
Barking and Dagenham,Dunnock,0.31,16,17.4,
Barking and Dagenham,Coal_tit,0.24,17,9.2,
Barking and Dagenham,Greenfinch,0.18,18,7.1,
Barking and Dagenham,Wren,0.14,19,13.3,
Barking and Dagenham,Jay,0.11,20,5.1,
Barking and Dagenham,Great_spotted_woodpecker,0.09,21,7.1,
Barking and Dagenham,Goldcrest,0.02,22,1.0,
Barking and Dagenham,Mistle_thrush,0.02,23,1.0,
Barking and Dagenham,Ring_necked_parakeet,0.02,24,1.0,
Barking and Dagenham,Sparrowhawk,0.02,25,2.0,
Barking and Dagenham,Bullfinch,0.01,26,1.0,
Barking and Dagenham,Grey_heron,0.01,27,1.0,
Barking and Dagenham,Rook,0.01,28,1.0,
Barking and Dagenham,Barn_owl,0.00,29,0.0,
Barking and Dagenham,Black_headed_gull ,0.00,30,0.0,
Barking and Dagenham,Black_redstart,0.00,31,0.0,
Barking and Dagenham,Blackcap,0.00,32,0.0,
Barking and Dagenham,Brambling,0.00,33,0.0,
Barking and Dagenham,Buzzard,0.00,34,0.0,
Barking and Dagenham,Chiffchaff,0.00,35,0.0,
Barking and Dagenham,Corn_bunting,0.00,36,0.0,
Barking and Dagenham,Fieldfare,0.00,37,0.0,
Barking and Dagenham,Gadwall,0.00,38,0.0,
Barking and Dagenham,Great_black_backed_gull,0.00,39,0.0,
Barking and Dagenham,Great_crested_grebe,0.00,40,0.0,
Barking and Dagenham,Green_woodpecker,0.00,41,0.0,
Barking and Dagenham,Grey_partridge,0.00,42,0.0,
Barking and Dagenham,Grey_wagtail,0.00,43,0.0,
Barking and Dagenham,Herring_gull,0.00,44,0.0,
Barking and Dagenham,Hooded_crow,0.00,45,0.0,
Barking and Dagenham,Jackdaw,0.00,46,0.0,
Barking and Dagenham,Kestrel,0.00,47,0.0,
Barking and Dagenham,Lapwing,0.00,48,0.0,
Barking and Dagenham,Lesser_black_backed_gull,0.00,49,0.0,
Barking and Dagenham,Lesser_spotted_woodpecker,0.00,50,0.0,
Barking and Dagenham,Linnet,0.00,51,0.0,
Barking and Dagenham,Little_owl,0.00,52,0.0,
Barking and Dagenham,Mallard,0.00,53,0.0,
Barking and Dagenham,Marsh_tit,0.00,54,0.0,
Barking and Dagenham,Meadow_pipit,0.00,55,0.0,
Barking and Dagenham,Moorhen,0.00,56,0.0,
Barking and Dagenham,Mute_swan,0.00,57,0.0,
Barking and Dagenham,Nuthatch,0.00,58,0.0,
Barking and Dagenham,Pheasant,0.00,59,0.0,
Barking and Dagenham,Pied_wagtail,0.00,60,0.0,
Barking and Dagenham,Raven,0.00,61,0.0,
Barking and Dagenham,Red_kite,0.00,62,0.0,
Barking and Dagenham,Red_legged_partridge,0.00,63,0.0,
Barking and Dagenham,Redpoll,0.00,64,0.0,
Barking and Dagenham,Redwing,0.00,65,0.0,
Barking and Dagenham,Reed_bunting,0.00,66,0.0,
Barking and Dagenham,Siskin,0.00,67,0.0,
Barking and Dagenham,Skylark,0.00,68,0.0,
Barking and Dagenham,Song_thrush,0.00,69,0.0,
Barking and Dagenham,Stock_dove,0.00,70,0.0,
Barking and Dagenham,Tawny_owl,0.00,71,0.0,
Barking and Dagenham,Teal,0.00,72,0.0,
Barking and Dagenham,Tree_sparrow,0.00,73,0.0,
Barking and Dagenham,Treecreeper,0.00,74,0.0,
Barking and Dagenham,Tufted_duck,0.00,75,0.0,
Barking and Dagenham,Waxwing,0.00,76,0.0,
Barking and Dagenham,Wigeon,0.00,77,0.0,
